date,Temp,Rain,RH,WD,WS,Solar,Lag1,Pak_PM10
1-Jan-11,11.38,0,57.46,183.33,1.1,351.78,18.01,18.64
2-Jan-11,14,0,49.07,195.6,1.01,363.15,18.64,17.27
3-Jan-11,11.25,0,53.93,182.64,1.86,226.83,17.27,12.03
4-Jan-11,16.71,0,53.91,213.32,2.11,375.98,12.03,12.24
5-Jan-11,18.33,0,55.26,205.1,1.29,290.64,12.24,8.69
6-Jan-11,13.29,0,55.05,213.1,3.55,278.01,8.69,7.86
7-Jan-11,16.83,0,53.05,204.94,1,359.99,7.86,11.28
8-Jan-11,19.38,0,53.07,106.97,1.03,317.63,11.28,18.79
9-Jan-11,15.08,0,55.96,191.71,1.25,322.48,18.79,10.96
10-Jan-11,8.33,0,62.06,182.65,1.21,187.1,10.96,5.44
11-Jan-11,19.88,0,64.43,201.25,1.82,273.96,5.44,8.32
12-Jan-11,19.88,0,56.2,148.1,0.63,360.82,8.32,10.92
13-Jan-11,17.67,0,55.65,222.17,2.65,270.38,10.92,12.97
14-Jan-11,11.54,0,58.3,127.37,0.53,342.49,12.97,11.86
15-Jan-11,15.33,0,55.33,242.17,2.24,296.57,11.86,11.23
16-Jan-11,20.21,0,58.78,135.14,0.7,250.65,11.23,11.56
17-Jan-11,19.33,0,58.23,231.49,2.14,251.9,11.56,9.41
18-Jan-11,16.29,0,56.04,227.2,2.58,340.58,9.41,11.7
19-Jan-11,15.58,0,58.33,243.28,2.89,147.98,11.7,17.96
20-Jan-11,19.75,0,57.37,102.49,0.88,319.45,17.96,18.12
21-Jan-11,16.5,0.02,58.47,227.7,1.96,262.88,18.12,9.9
22-Jan-11,20.25,0,57.18,106.12,1.02,307.53,9.9,4.37
23-Jan-11,18.33,0,56.21,208.34,1.85,356.38,4.37,19.2
24-Jan-11,17.71,0,55.08,202.73,2.27,286.74,19.2,11.5
25-Jan-11,23.04,0,56.86,100.76,0.38,203.09,11.5,15.16
26-Jan-11,14.25,0,58.07,181.32,1.37,401.49,15.16,14.14
27-Jan-11,15,0,61.62,172.22,0.82,295.45,14.14,10.64
28-Jan-11,17.67,0,54.09,218.2,2.15,261.44,10.64,10.47
29-Jan-11,17.92,0,53.79,217.58,1.11,322.23,10.47,19.26
30-Jan-11,13.46,0,56.96,251.14,1.48,267.35,19.26,20.2
31-Jan-11,10.17,0,61.93,189.51,1.73,159.65,20.2,15.4
1-Feb-11,12,0,62.52,188.23,1.13,231.08,15.4,16.92
2-Feb-11,16.83,0,60.97,213.53,2.2,225.54,16.92,17.52
3-Feb-11,17.13,0,58.18,223.87,3.37,380.56,17.52,15.47
4-Feb-11,19.04,0,56.25,202.09,2.29,338.05,15.47,6.46
5-Feb-11,13.92,0,56.57,198.55,0.72,149.5,6.46,6.52
6-Feb-11,11.74,0,64.2,223.82,4.14,209.32,6.52,9.19
7-Feb-11,17.46,0,55.33,219.62,1.15,275.28,9.19,9.27
8-Feb-11,20.38,0,59.51,99.66,0.67,349.72,9.27,11.39
9-Feb-11,20.67,0,55.05,191.51,1.95,305.93,11.39,12.58
10-Feb-11,17.79,0,61.13,205.15,1.45,355.77,12.58,20.86
11-Feb-11,17.46,0,57.98,208.77,2.03,300.13,20.86,16.87
12-Feb-11,19.96,0,58.94,191.43,1.45,333.73,16.87,8.24
13-Feb-11,14.5,0,62.97,198.54,1.43,352.71,8.24,6.06
14-Feb-11,14.88,0,60.08,193.87,1.1,327.39,6.06,11.39
15-Feb-11,15.21,0,58.45,227.08,3.11,299.09,11.39,22.87
16-Feb-11,16.38,0,61.11,230.94,3.2,311.38,22.87,11.42
17-Feb-11,8.67,0.02,61.56,210.64,2.01,226.47,11.42,10.37
18-Feb-11,18.63,0,57.99,132.69,0.55,272.68,10.37,7.98
19-Feb-11,17.38,0,60.69,86.5,1.18,338.24,7.98,10.77
20-Feb-11,21.54,0,57.55,148.39,1.35,181.38,10.77,10.15
21-Feb-11,15.33,0,60.01,186.45,1.05,304.64,10.15,10.09
22-Feb-11,20.79,0,60.35,93.07,0.61,304.46,10.09,7.12
23-Feb-11,11.13,0,62.73,199.21,1.41,130.86,7.12,13.75
24-Feb-11,18.5,0,61.03,170.92,0.61,240.44,13.75,16.73
25-Feb-11,17.58,0,61.8,120.54,0.76,255.65,16.73,13.16
26-Feb-11,20.88,0,64.73,177.9,1.02,347.98,13.16,13.36
27-Feb-11,16.88,0,60.8,204.28,1.79,374,13.36,12.91
28-Feb-11,16.71,0,61.73,215.94,2.28,223.65,12.91,9.56
1-Mar-11,8.13,0,62.29,197.39,2.22,118.22,9.56,7.07
2-Mar-11,16.29,0,62.05,225.19,2.95,403.95,7.07,7.28
3-Mar-11,14.83,0.01,62.37,231.63,1.88,376.71,7.28,19.69
4-Mar-11,10.54,0,63.9,190.09,1.01,163.98,19.69,8.52
5-Mar-11,14.71,0,63.13,214.34,2.31,278.58,8.52,5.75
6-Mar-11,15.27,0.01,59.25,250.93,2.69,428.57,5.75,9.6
7-Mar-11,18.54,0,60.11,210.25,3.27,260.16,9.6,8.3
8-Mar-11,9.67,0,63.36,205.46,1.45,208.1,8.3,9.07
9-Mar-11,17.67,0,60.53,213.63,1.79,422.46,9.07,9.61
10-Mar-11,15.13,0,59.16,225.71,2.12,204.35,9.61,11.31
11-Mar-11,14.25,0,57.78,144.18,1.21,49.6,11.31,9.38
12-Mar-11,19.54,0,64.65,216.87,2.03,319.17,9.38,10.71
13-Mar-11,15.88,0,60.62,222.08,3.49,264.36,10.71,9.98
14-Mar-11,14.42,0,62.47,215.63,1.82,283.02,9.98,8.64
15-Mar-11,7.79,0,67.6,200.49,1.08,122.99,8.64,6.98
16-Mar-11,18.96,0,61.27,205.52,1.36,352.6,6.98,7.72
17-Mar-11,16.33,0,62.78,242.45,3.15,351.55,7.72,9.25
18-Mar-11,17.08,0,59.58,209.7,1.43,409.31,9.25,11.43
19-Mar-11,13.54,0,65.34,204.37,2.13,231.85,11.43,11.66
20-Mar-11,16.21,0,63.41,179.12,0.91,297.48,11.66,9.92
21-Mar-11,19.17,0,61.23,93.13,0.95,211.04,9.92,7.52
22-Mar-11,18.5,0,63.84,201.61,1.8,388.97,7.52,9.49
23-Mar-11,17.33,0.02,63.45,224.05,2.18,201.12,9.49,11.41
24-Mar-11,15.13,0,59.59,193.16,0.98,365.07,11.41,13.58
25-Mar-11,12.63,0,71.03,131.62,0.64,200.4,13.58,17.48
26-Mar-11,16.38,0,64.3,204.89,2.35,328.17,17.48,8.45
27-Mar-11,21.08,0,59.29,132.36,1.13,210.43,8.45,7.39
28-Mar-11,15.63,0,59.2,201.06,1.45,298.8,7.39,26
29-Mar-11,18.75,0,62.1,213.09,2.55,316.65,26,20.47
30-Mar-11,19.25,0,59.18,214.24,1.81,384.96,20.47,15.66
31-Mar-11,6.39,0,62.46,175.17,0.71,118.29,15.66,14.31
1-Apr-11,21.13,0,60.82,100.91,0.72,242.53,14.31,13.92
2-Apr-11,15.88,0,62.18,201.58,1.13,300.65,13.92,17.35
3-Apr-11,21.13,0,59.33,89.17,0.43,302.37,17.35,15.3
4-Apr-11,16.63,0.02,62,198.55,1.97,293.7,15.3,7.58
5-Apr-11,13.63,0.01,64.07,224.22,1.68,336.63,7.58,9.48
6-Apr-11,20.38,0.02,67.4,156.86,1.06,267.19,9.48,17.27
7-Apr-11,21.54,0,62.08,94.07,0.64,257.37,17.27,17.3
8-Apr-11,17.92,0,70.66,81.49,0.58,362.21,17.3,21.85
9-Apr-11,10.54,0,67.31,155.36,0.6,168.83,21.85,21.81
10-Apr-11,18.21,0,58.57,210.69,1.64,244.87,21.81,15.65
11-Apr-11,17.71,0,63.43,205.77,2.48,338.61,15.65,12.57
12-Apr-11,18.54,0,61.45,186.74,1.5,374.3,12.57,10.56
13-Apr-11,18.71,0,57.73,217.58,1.43,364.15,10.56,16.53
14-Apr-11,13,0.03,62.34,220.32,2.96,281.23,16.53,15.03
15-Apr-11,20.5,0,63.91,63.15,0.74,279.28,15.03,10.55
16-Apr-11,19.71,0,66.02,217.39,2.71,278.14,10.55,8.13
17-Apr-11,13,0,64.97,182.62,1.16,115.47,8.13,9.47
18-Apr-11,12.83,0,60.2,230.99,2.05,183.04,9.47,13.8
19-Apr-11,18,0,61.96,220.79,1.93,319.92,13.8,13.25
20-Apr-11,14.67,0,61.7,212.25,1.81,78.22,13.25,11.62
21-Apr-11,15.33,0,62.38,223.71,2.25,270.44,11.62,17.99
22-Apr-11,17.42,0,61.55,198.81,1.96,373.52,17.99,11.1
23-Apr-11,19.25,0,59.33,115.89,0.75,269.05,11.1,9.67
24-Apr-11,18.79,0,61.43,211.38,1.93,265.97,9.67,7.07
25-Apr-11,14.5,0,58.95,219.06,2.34,279.9,7.07,9.18
26-Apr-11,13.92,0,59.02,207.47,1,304.16,9.18,5.56
27-Apr-11,12.58,0,65.07,187.13,1.12,164.34,5.56,7.08
28-Apr-11,11.88,0,64.51,246.67,1.6,101.41,7.08,7.94
29-Apr-11,7.38,0,58.56,196.47,1.47,122.18,7.94,9.47
30-Apr-11,19.13,0,62.91,87.33,0.88,201.85,9.47,16.01
1-May-11,18.71,0,63.65,232.52,2.54,298.33,16.01,17.27
2-May-11,13.13,0,66.06,230.75,0.89,67.8,17.27,8.14
3-May-11,17.33,0,61.67,137.49,0.72,202.07,8.14,10.59
4-May-11,19.17,0,60.59,210.15,2,352.97,10.59,13.82
5-May-11,15.21,0,62.04,270.52,1.8,150.87,13.82,10.05
6-May-11,17.46,0,64.62,211.93,1.24,300.55,10.05,11.84
7-May-11,21.46,0,65.78,207.59,1.69,390.91,11.84,9.42
8-May-11,15.88,0,62.08,237.53,2.56,332,9.42,15.12
9-May-11,22,0,58.13,70.56,0.73,362.54,15.12,16.78
10-May-11,6.5,0,64.73,177.97,0.73,134.49,16.78,17.59
11-May-11,17.33,0.01,61.58,256.31,1.27,197.89,17.59,19.26
12-May-11,11.13,0.02,68.33,208.82,2.98,145.87,19.26,12.24
13-May-11,14.29,0,66.17,150.57,0.7,148.97,12.24,11.49
14-May-11,15.75,0,63.01,222.83,1.78,342.47,11.49,16.03
15-May-11,16.79,0,65.43,210.76,0.95,341.52,16.03,11.11
16-May-11,18.46,0,62.83,215.17,2.89,358.62,11.11,20.1
17-May-11,17.21,0,63.65,235.25,1.19,103.66,20.1,18.61
18-May-11,19.42,0,59.97,223.98,2.33,316.96,18.61,21.13
19-May-11,8.17,0,68.99,207.63,1.1,173.4,21.13,21.49
20-May-11,17.33,0.03,59.55,242.84,0.97,287.13,21.49,19.4
21-May-11,20.42,0,58.81,163.82,0.55,234.55,19.4,13.46
22-May-11,21.13,0,61.07,91.24,0.73,310.18,13.46,22.29
23-May-11,15.29,0.01,64.23,235.95,2.81,263.18,22.29,24.74
24-May-11,18.33,0,59.66,244.29,1.43,286.85,24.74,18.76
25-May-11,19.21,0,60.58,224.38,3.17,232.12,18.76,14.96
26-May-11,19.17,0,63,109.7,1.09,187.14,14.96,14.25
27-May-11,21.08,0,61.08,202.49,1.3,342.26,14.25,11.13
28-May-11,22.79,0,58.57,229.09,1,303.18,11.13,11.23
29-May-11,7.54,0,72.37,211.51,1.23,173.54,11.23,13.54
30-May-11,13.13,0.01,62.65,231.35,3.59,242.31,13.54,13.91
31-May-11,16.73,0,56.3,351.29,1.37,197.06,13.91,12.82
1-Jun-11,17.79,0.02,62.09,212.56,2.81,231.73,12.82,21.16
2-Jun-11,20.75,0,64.73,177.55,0.51,278.34,21.16,13.59
3-Jun-11,14.67,0,61.89,221.55,2.43,340.22,13.59,10.22
4-Jun-11,16.08,0.01,66.57,238.35,2.82,271.9,10.22,15.92
5-Jun-11,15.08,0,55.3,284.42,0.87,307.84,15.92,12.44
6-Jun-11,10.5,0.04,68.02,199.9,2.06,117.98,12.44,6.77
7-Jun-11,21.5,0,61.37,66.13,0.79,368.03,6.77,9.81
8-Jun-11,12.75,0,70.09,221.46,0.66,24.63,9.81,20.26
9-Jun-11,19.04,0,63.08,209.29,2.07,279.41,20.26,22.02
10-Jun-11,15.67,0,62.44,194.09,0.64,307.06,22.02,12.15
11-Jun-11,14.92,0,59.31,220.36,1.37,302.93,12.15,10.21
