Auckland weather data,,,,,
Edited: 20230308,,,,,
date,temperature,relative_humidity,wind_direction_deg,wind_speed_knots,description
2023-01-01T00:00:00Z,22,53.03,120,5,cloudy
2023-01-01T00:30:00Z,22,49.64,80,3,cloudy
2023-01-01T01:00:00Z,22,53.03,60,6,cloudy
2023-01-01T01:30:00Z,22,56.63,60,6,cloudy
2023-01-01T02:00:00Z,22,53.03,20,6,cloudy
2023-01-01T02:30:00Z,21,60.21,40,12,cloudy
2023-01-01T03:00:00Z,21,60.21,40,14,cloudy
2023-01-01T03:30:00Z,21,64.26,60,14,cloudy
2023-01-01T04:00:00Z,21,60.21,60,14,cloudy
2023-01-01T04:30:00Z,21,60.21,60,13,cloudy
2023-01-01T05:00:00Z,20,64.04,80,12,cloudy
2023-01-01T05:30:00Z,20,64.04,70,12,cloudy
2023-01-01T06:00:00Z,20,64.04,70,10,fine
2023-01-01T06:30:00Z,20,64.04,70,9,fine
2023-01-01T07:00:00Z,19,63.82,70,11,fine
2023-01-01T07:30:00Z,19,68.15,70,8,fine
2023-01-01T08:00:00Z,18,72.56,80,5,fine
2023-01-01T08:30:00Z,18,72.56,70,4,fine
2023-01-01T09:00:00Z,18,72.56,70,4,cloudy
2023-01-01T09:30:00Z,17,72.38,70,5,fine
2023-01-01T10:00:00Z,17,72.38,70,4,fine
2023-01-01T10:30:00Z,17,72.38,80,4,fine
2023-01-01T11:00:00Z,16,77.14,80,3,cloudy
2023-01-01T11:30:00Z,17,72.38,110,6,cloudy
2023-01-01T12:00:00Z,16,77.14,120,4,cloudy
2023-01-01T12:30:00Z,16,82.37,110,5,cloudy
2023-01-01T13:00:00Z,16,82.37,110,8,cloudy
2023-01-01T13:30:00Z,17,77.29,110,10,cloudy
2023-01-01T14:00:00Z,17,77.29,110,9,cloudy
2023-01-01T14:30:00Z,17,77.29,120,10,cloudy
2023-01-01T15:00:00Z,17,82.5,110,10,cloudy
2023-01-01T15:30:00Z,17,77.29,120,12,cloudy
2023-01-01T16:00:00Z,17,77.29,120,11,cloudy
2023-01-01T16:30:00Z,17,77.29,120,11,cloudy
2023-01-01T17:00:00Z,17,77.29,120,12,cloudy
2023-01-01T17:30:00Z,16,77.14,110,10,cloudy
2023-01-01T18:00:00Z,16,77.14,110,11,cloudy
2023-01-01T18:30:00Z,17,72.38,110,11,cloudy
2023-01-01T19:00:00Z,17,77.29,120,13,cloudy
2023-01-01T19:30:00Z,17,77.29,110,14,cloudy
2023-01-01T20:00:00Z,17,77.29,120,15,cloudy
2023-01-01T20:30:00Z,19,68.15,120,12,cloudy
2023-01-01T21:00:00Z,20,68.35,110,11,cloudy
