                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00015,                 128.72,                  9e-05,                      0,                      0,                      0,                      0,                  1e-05,                 137.18,                      0,             3.8176e-05,             3.8176e-05,             3.8176e-05
                      2,                0.00049,                 121.45,                 0.0003,                      0,                      0,                      0,                      0,                  1e-05,                 135.49,                      0,             7.7356e-05,             7.7356e-05,             7.7356e-05
                      3,                0.00019,                 117.16,                0.00011,                      0,                      0,                      0,                      0,                  1e-05,                 126.03,                      0,             0.00011638,             0.00011638,             0.00011638
                      4,                0.00067,                 113.78,                0.00037,                      0,                      0,                      0,                      0,                  1e-05,                 118.25,                      0,              0.0001173,              0.0001173,              0.0001173
                      5,                0.00102,                 110.98,                0.00056,                      0,                      0,                      0,                      0,                  1e-05,                 116.93,                      0,              0.0001173,              0.0001173,              0.0001173
                      6,                0.00853,                  108.3,                0.00342,                      0,                      0,                      0,                      0,                  1e-05,                 120.57,                      0,             0.00011707,             0.00011707,             0.00011707
                      7,                0.04706,                 105.98,                 0.0153,                      0,                      0,                      0,                      0,                0.12808,                 122.72,                0.03018,             0.00011683,             0.00011683,             0.00011683
                      8,                0.22558,                 104.07,                0.09779,                      0,                      0,                      0,                      0,                 0.0237,                 121.15,                0.01153,              0.0001166,              0.0001166,              0.0001166
                      9,                0.33995,                 102.05,                0.21463,                      0,                      0,                      0,                      0,                0.07354,                 120.46,                0.02881,             0.00011636,             0.00011636,             0.00011636
                     10,                0.39725,                 99.931,                0.18043,                      0,                      0,                      0,                      0,                  1e-05,                 118.09,                  1e-05,             0.00011613,             0.00011613,             0.00011613
                     11,                0.45556,                 98.225,                  0.163,                      0,                      0,                      0,                      0,                0.01162,                 117.24,                0.00302,              0.0001159,              0.0001159,              0.0001159
                     12,                0.52549,                  96.76,                0.16565,                      0,                      0,                      0,                      0,                 1.9779,                 111.31,                0.65651,             0.00011566,             0.00011566,             0.00011566
                     13,                0.43075,                 95.095,                0.14681,                      0,                      0,                      0,                      0,                 2.0347,                 108.78,                0.69278,             0.00011543,             0.00011543,             0.00011543
                     14,                0.70756,                 93.635,                0.20768,                      0,                      0,                      0,                      0,                 2.2211,                 104.79,                0.70546,              0.0001152,              0.0001152,              0.0001152
                     15,                0.53993,                 91.978,                0.16984,                      0,                      0,                      0,                      0,                 1.9227,                 105.25,                0.55393,             0.00011496,             0.00011496,             0.00011496
                     16,                0.90132,                  90.43,                0.25243,                      0,                      0,                      0,                      0,                0.15566,                 105.45,                0.04618,             0.00011473,             0.00011473,             0.00011473
                     17,                0.84023,                 89.436,                0.26691,                      0,                      0,                      0,                      0,                 0.0824,                 103.99,                0.02407,              0.0001145,              0.0001145,              0.0001145
                     18,                   1.51,                 88.381,                0.49812,                      0,                      0,                      0,                      0,                0.14635,                 102.79,                0.04418,             0.00011426,             0.00011426,             0.00011426
