                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00132,                 129.24,                0.00081,                0.00078,                 129.23,                0.00047,                      0,                      0,                      0,                      0,                  1e-05,                 137.33,                      0,                      0,                 137.33,                      0,             3.8176e-05,             3.8176e-05,             3.8176e-05
                      2,                0.00036,                 125.84,                0.00022,                0.00013,                 125.84,                  8e-05,                      0,                      0,                      0,                      0,                  1e-05,                 137.45,                      0,                      0,                 137.45,                      0,             7.7356e-05,             7.7356e-05,             7.7356e-05
                      3,                0.00041,                 121.69,                0.00026,                 0.0002,                 121.69,                0.00013,                      0,                      0,                      0,                      0,                  1e-05,                 136.51,                      0,                      0,                 136.51,                      0,             0.00011638,             0.00011638,             0.00011638
                      4,                0.00237,                 117.85,                0.00141,                 0.0009,                 117.85,                0.00057,                      0,                      0,                      0,                      0,                  1e-05,                  131.9,                      0,                      0,                  131.9,                      0,              0.0001173,              0.0001173,              0.0001173
                      5,                0.00041,                 114.15,                0.00023,                0.00014,                 114.15,                  7e-05,                      0,                      0,                      0,                      0,                  1e-05,                 126.18,                      0,                      0,                 126.18,                      0,              0.0001173,              0.0001173,              0.0001173
                      6,                 0.0002,                 110.34,                0.00011,                  7e-05,                 110.34,                  4e-05,                      0,                      0,                      0,                      0,                  2e-05,                 124.07,                  1e-05,                  1e-05,                 124.07,                      0,             0.00011707,             0.00011707,             0.00011707
                      7,                0.00014,                 106.98,                  8e-05,                  5e-05,                 106.98,                  3e-05,                      0,                      0,                      0,                      0,                  4e-05,                 121.34,                  2e-05,                  2e-05,                 121.34,                  1e-05,             0.00011683,             0.00011683,             0.00011683
                      8,                0.00058,                 103.56,                0.00031,                0.00015,                 103.56,                  8e-05,                      0,                      0,                      0,                      0,                  9e-05,                 116.76,                  4e-05,                  3e-05,                 116.76,                  1e-05,              0.0001166,              0.0001166,              0.0001166
                      9,                0.00041,                 100.34,                0.00022,                0.00012,                 100.34,                  6e-05,                      0,                      0,                      0,                      0,                0.00043,                 113.78,                0.00015,                  9e-05,                 113.78,                  3e-05,             0.00011636,             0.00011636,             0.00011636
                     10,                0.00022,                 97.561,                0.00012,                  7e-05,                 97.561,                  4e-05,                      0,                      0,                      0,                      0,                0.00089,                 110.79,                0.00031,                0.00011,                 110.79,                  4e-05,             0.00011613,             0.00011613,             0.00011613
                     11,                 0.0004,                  94.73,                0.00021,                 0.0001,                  94.73,                  5e-05,                      0,                      0,                      0,                      0,                0.00076,                 107.75,                0.00028,                0.00014,                 107.75,                  6e-05,              0.0001159,              0.0001159,              0.0001159
                     12,                0.00131,                 92.103,                0.00063,                 0.0002,                 92.102,                 0.0001,                      0,                      0,                      0,                      0,                0.07667,                 103.76,                0.02166,                 0.0011,                  103.7,                0.00032,             0.00011566,             0.00011566,             0.00011566
                     13,                0.17849,                 89.788,                0.07103,                0.04508,                 89.662,                 0.0168,                      0,                      0,                      0,                      0,                 1.0227,                 101.43,                0.31797,                0.60041,                 100.99,                0.17646,             0.00011543,             0.00011543,             0.00011543
                     14,                0.16797,                 87.295,                0.04416,                0.12337,                 87.254,                0.03199,                      0,                      0,                      0,                      0,                 3.1578,                 88.045,                0.96993,                 3.0385,                 92.767,                0.88511,              0.0001152,              0.0001152,              0.0001152
                     15,                0.70907,                 85.598,                0.28714,                0.50932,                 85.384,                0.24372,                      0,                      0,                      0,                      0,                 3.6137,                 82.831,                 1.2307,                 2.3493,                 96.656,                 1.0292,             0.00011496,             0.00011496,             0.00011496
