                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2313,                 176.39,                0.78182,                0.18309,                 175.53,                0.12361,                      0,                      0,                      0,                      0,                0.22424,                 182.62,                0.13065,                0.03477,                 182.45,                0.02025,             3.8176e-05,             3.8176e-05,             3.8176e-05
                      2,                 1.7538,                 171.31,                 1.1015,                0.27744,                 169.89,                0.17588,                      0,                      0,                      0,                      0,                0.22114,                 182.33,                0.12882,                0.03449,                 182.16,                0.02004,             7.7356e-05,             7.7356e-05,             7.7356e-05
                      3,                 1.6001,                 164.63,                0.96919,                 0.2168,                 163.29,                0.13247,                      0,                      0,                      0,                      0,                0.21276,                  180.2,                 0.1244,                0.03396,                 180.03,                0.01972,             0.00011638,             0.00011638,             0.00011638
                      4,                 1.3469,                    157,                0.78559,                0.21061,                 157.58,                0.12101,                      0,                      0,                      0,                      0,                0.21304,                 172.47,                0.12379,                0.03261,                 172.29,                0.01894,              0.0001173,              0.0001173,              0.0001173
                      5,                 2.1125,                  148.6,                 1.1966,                0.32647,                 152.74,                0.20022,                      0,                      0,                      0,                      0,                0.83329,                  166.8,                0.41018,                0.05671,                    166,                0.03166,              0.0001173,              0.0001173,              0.0001173
                      6,                 4.3234,                  135.7,                 2.4533,                0.47406,                 148.25,                0.27003,                      0,                      0,                      0,                      0,                 3.6698,                 138.93,                 1.8756,                0.56885,                 166.95,                0.26026,             0.00011707,             0.00011707,             0.00011707
                      7,                 4.2795,                 124.86,                 2.5316,                 1.0647,                  145.3,                0.62194,                      0,                      0,                      0,                      0,                 3.9633,                  96.15,                 2.4696,                 3.2124,                 150.58,                 1.8608,             0.00011683,             0.00011683,             0.00011683
                      8,                 4.1581,                  102.9,                  2.538,                 2.4417,                 138.54,                 1.7015,                      0,                      0,                      0,                      0,                 4.2633,                 82.699,                 2.2523,                 3.4667,                  102.1,                 2.3802,              0.0001166,              0.0001166,              0.0001166
                      9,                 4.1609,                 89.109,                 2.3373,                 3.0595,                 130.21,                 2.1153,                      0,                      0,                      0,                      0,                 4.1368,                 68.265,                 2.2248,                 3.6245,                 98.322,                 2.4072,             0.00011636,             0.00011636,             0.00011636
                     10,                 4.4466,                 85.797,                 2.4709,                 3.0593,                 124.69,                 1.9255,                      0,                      0,                      0,                      0,                 4.6286,                 55.569,                 2.3218,                 3.5437,                 88.747,                 2.1692,             0.00011613,             0.00011613,             0.00011613
                     11,                 4.5266,                 75.564,                 2.2726,                 3.2856,                 120.76,                 1.9057,                      0,                      0,                      0,                      0,                 4.5114,                 47.682,                 2.0912,                 3.6296,                 92.637,                 2.0404,              0.0001159,              0.0001159,              0.0001159
                     12,                 4.5531,                 64.738,                 2.2043,                 3.7999,                 117.86,                 2.0615,                      0,                      0,                      0,                      0,                 4.2061,                 45.559,                  1.937,                 3.8044,                 90.121,                  1.968,             0.00011566,             0.00011566,             0.00011566
                     13,                 4.2595,                 49.821,                 2.2117,                 3.8383,                  95.94,                 2.2915,                      0,                      0,                      0,                      0,                 4.8209,                 41.219,                 2.0819,                   4.19,                 81.033,                 1.9396,             0.00011543,             0.00011543,             0.00011543
                     14,                 4.6539,                  54.94,                 2.1104,                 4.0887,                 101.55,                  2.203,                      0,                      0,                      0,                      0,                 4.9235,                 27.311,                 2.1384,                 3.9925,                 48.119,                  2.005,              0.0001152,              0.0001152,              0.0001152
                     15,                 4.2387,                 42.176,                 2.0663,                 3.9295,                 75.934,                 2.2573,                      0,                      0,                      0,                      0,                 4.4044,                 23.483,                 1.9877,                 3.6464,                 35.154,                 2.0329,             0.00011496,             0.00011496,             0.00011496
                     16,                 4.3769,                  38.15,                 2.0518,                 4.0888,                 69.617,                 2.2205,                      0,                      0,                      0,                      0,                 4.2619,                  28.24,                 2.0101,                 3.7289,                 46.874,                 2.1439,             0.00011473,             0.00011473,             0.00011473
                     17,                 4.1905,                 33.144,                  1.961,                 3.9629,                 55.804,                 2.1437,                      0,                      0,                      0,                      0,                 4.0945,                 22.592,                 1.8556,                    3.7,                 33.423,                 1.9975,              0.0001145,              0.0001145,              0.0001145
                     18,                 4.1894,                 31.972,                 1.9535,                 4.0031,                 47.746,                 2.2259,                0.00057,                0.03448,                0.00031,                  9e-05,                 3.8821,                 19.173,                 1.7725,                 3.6147,                 30.013,                 2.0042,             0.00011426,             0.00011426,             0.00011426
                     19,                 4.1906,                  29.66,                 1.8124,                 4.0756,                 45.403,                 2.0125,                0.00046,                0.05172,                0.00027,                  6e-05,                 3.7831,                 17.283,                 1.7233,                 3.5767,                 25.922,                 1.9725,             0.00011403,             0.00011403,             0.00011403
                     20,                 4.0163,                 23.633,                  1.804,                 3.8634,                 34.604,                 1.9503,                0.00063,                0.03879,                0.00035,                  7e-05,                  4.049,                 15.355,                 1.7995,                 4.3239,                 25.798,                 1.9725,             0.00011379,             0.00011379,             0.00011379
                     21,                 3.9503,                 21.152,                 1.7948,                 3.8764,                 30.808,                 1.9097,                0.00069,                0.12069,                0.00178,                0.00024,                 3.6111,                 14.109,                 1.6683,                 3.5237,                 19.684,                 1.7527,             0.00011356,             0.00011356,             0.00011356
                     22,                 4.0117,                 20.393,                 1.8608,                  3.809,                 29.347,                 1.8852,                0.00129,                 0.1681,                0.00239,                0.00052,                  3.499,                 12.813,                 1.6574,                 3.4319,                 17.322,                 1.7126,             0.00011333,             0.00011333,             0.00011333
                     23,                 4.1183,                 19.588,                  1.789,                 3.9364,                 28.325,                 1.8392,                0.00212,                0.10776,                 0.0024,                0.00057,                 3.5607,                 12.827,                 1.6701,                 3.3659,                 17.104,                 1.6678,             0.00011309,             0.00011309,             0.00011309
                     24,                 3.9537,                 17.879,                 1.7802,                 3.7159,                  24.66,                  1.786,                0.00239,                0.12069,                 0.0039,                0.00133,                 3.7866,                 13.351,                 1.6697,                 3.7228,                  18.69,                 1.7138,             0.00011286,             0.00011286,             0.00011286
                     25,                 3.7998,                 15.859,                 1.6551,                 3.5974,                 20.929,                 1.6662,                0.00331,                0.32328,                0.00527,                0.00121,                 3.4481,                 12.193,                 1.5717,                 3.3354,                 15.957,                 1.5992,             0.00011263,             0.00011263,             0.00011263
                     26,                 3.7566,                 15.074,                 1.6447,                 3.6273,                 19.948,                  1.654,                0.02967,                0.00862,                0.01358,                0.00283,                 3.2737,                  11.13,                 1.5325,                  3.045,                 13.889,                 1.4989,             0.00011239,             0.00011239,             0.00011239
                     27,                 3.6602,                 13.589,                 1.6661,                 3.5358,                 17.435,                 1.6423,                0.04097,                 0.0094,                0.01605,                 0.0035,                 3.3575,                 10.865,                 1.5552,                  3.082,                 13.396,                 1.4748,             0.00011216,             0.00011216,             0.00011216
                     28,                 3.6863,                 12.802,                 1.6052,                 3.5687,                 16.279,                 1.5903,                0.03233,                0.02586,                0.01856,                0.00458,                 3.3463,                 10.203,                 1.5159,                  3.067,                 12.893,                 1.4278,             0.00011193,             0.00011193,             0.00011193
                     29,                 3.4998,                 11.496,                 1.5866,                 3.4186,                 14.681,                 1.5685,                0.05557,                0.06466,                0.01513,                0.00288,                 3.3081,                 9.6172,                 1.5124,                 3.2254,                 12.433,                 1.4577,             0.00011169,             0.00011169,             0.00011169
                     30,                  3.554,                   10.6,                 1.5657,                 3.4855,                 13.912,                 1.5265,                0.05278,                0.07759,                0.01954,                 0.0038,                 3.2681,                 9.0018,                   1.49,                 3.1289,                 12.014,                 1.4164,             0.00011146,             0.00011146,             0.00011146
                     31,                 3.4569,                 10.273,                 1.5726,                 3.3968,                 13.393,                 1.5175,                0.05702,                0.10345,                 0.0223,                 0.0041,                 3.3247,                 9.1985,                 1.5128,                 3.2203,                  12.05,                 1.4706,             0.00011122,             0.00011122,             0.00011122
                     32,                 3.3793,                 10.022,                 1.5052,                 3.3053,                 12.827,                 1.4513,                0.11116,                0.15086,                0.05366,                   0.01,                 3.1145,                 8.2115,                 1.4164,                 3.0054,                 11.091,                 1.3839,             0.00011099,             0.00011099,             0.00011099
                     33,                 3.4006,                 9.3735,                 1.5236,                 3.2709,                 12.292,                   1.45,                0.11132,                0.14224,                0.04812,                 0.0094,                 3.1841,                 8.2826,                 1.4628,                 3.0598,                 11.128,                 1.4004,             0.00011076,             0.00011076,             0.00011076
                     34,                 3.3055,                 8.8057,                  1.471,                 3.2186,                 11.394,                 1.4102,                0.14355,                0.17672,                0.07652,                 0.0139,                 3.0098,                 7.5356,                 1.4118,                 3.0063,                   10.6,                 1.3674,             0.00011052,             0.00011052,             0.00011052
                     35,                 3.2267,                 8.5815,                 1.4572,                 3.2138,                 11.616,                  1.403,                0.16458,                0.22758,                0.08333,                0.01775,                 3.0201,                 7.1462,                   1.42,                 2.8941,                 10.239,                 1.3573,             0.00011029,             0.00011029,             0.00011029
                     36,                 3.1462,                 8.0554,                 1.4421,                 3.1014,                 10.822,                  1.374,                0.17261,                0.18704,                0.08486,                0.01951,                 2.9252,                 7.0888,                 1.3958,                 2.8673,                 10.175,                 1.3628,             0.00011006,             0.00011006,             0.00011006
                     37,                 3.1085,                 7.9425,                 1.4017,                 3.0253,                 10.483,                 1.3267,                0.20835,                0.21983,                0.12338,                0.02831,                 2.8478,                 6.7662,                  1.363,                 2.7446,                 9.7106,                 1.3044,             0.00010982,             0.00010982,             0.00010982
